x,y,Whisker
1.1217,3.1593,b
1.2591,4.3938,c
1.3787,1.7948,d
1.8745,5.3156,a
2.1496,3.7512,C1
2.2404,2.6687,D1
2.3869,4.8032,B1
2.3996,1.2533,E1
2.5601,5.6713,A1
3.2804,3.794,C2
3.3,1.3942,E2
3.3884,2.6116,D2
3.4514,4.9288,B2
3.4778,5.7123,A2
4.0542,1.3838,E3
4.1602,2.4513,D3
4.2642,5.7689,A3
4.3367,4.9195,B3
4.3474,3.6196,C3
4.8071,1.54,E4
4.979,2.5582,D4
5.1186,3.526,C4
5.1335,5.7094,A4
5.2887,4.7774,B4
5.5444,1.5795,E5
5.7178,2.431,D5
5.8742,3.3489,C5
6.2157,1.6851,E6
6.3231,2.586,D6
6.4972,3.3375,C6
6.6556,2.0221,E7
6.7491,2.6062,D7
6.839,5.6403,N1
6.9084,3.1742,C7
6.9323,2.2578,E8
6.9509,5.9912,N2
6.998,6.2416,E9
7.0596,2.7255,D8
7.1221,3.1093,C8
7.2102,2.3601,E9
7.304,2.6855,D9
7.3289,5.8777,N3
7.3573,2.4113,E10
7.3576,6.378,N4
7.385,3.0282,C9
7.4522,2.7535,D10
7.5529,2.5463,E11
7.5753,2.8491,D11
7.5981,3.03,C10
7.6328,2.7969,E12
7.6569,2.9757,D12
7.7808,2.9768,E13
